date,cv_role,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_target,target_level
2017-12-05,always train (rows 1-551),0.763935,-0.094238,0.671988,0.647856,0.629018,0.793159,-0.451868,-0.813689,0.474824,-1.150066,-0.373938,2629.570068
2017-12-06,always train (rows 1-551),1.286775,1.316212,0.944316,-0.371375,1.458498,1.868901,-0.030608,0.995168,-0.735895,-0.747275,-0.011411,2629.270020
2017-12-07,always train (rows 1-551),1.147468,1.232373,0.645633,0.183442,-0.350314,2.317363,0.168360,0.328121,-0.744354,-0.295397,0.293236,2636.979980
2017-12-08,always train (rows 1-551),0.460481,0.593636,0.190552,2.024490,0.029508,-0.632835,0.050935,0.133299,0.414263,1.252141,0.550631,2651.500000
2017-12-11,always train (rows 1-551),0.246800,0.390515,1.271382,0.595526,1.948430,0.022358,0.132353,0.447563,0.391181,-0.292663,0.320196,2659.989990
2017-12-12,always train (rows 1-551),-0.304193,-0.059543,0.410648,-0.328504,-0.561788,-1.161767,1.204886,1.034463,-0.325164,1.164548,0.154892,2664.110107
2017-12-13,always train (rows 1-551),0.249830,0.012495,-0.268727,0.331970,-0.081541,0.757244,-0.838908,0.203359,0.434989,-1.254094,-0.047296,2662.850098
2017-12-14,always train (rows 1-551),0.578270,0.820671,0.870178,-0.773310,-0.029031,0.050460,-0.374868,-0.867796,-0.264688,-0.805612,-0.407086,2652.010010
2017-12-15,always train (rows 1-551),1.374031,1.433529,2.550479,0.415580,1.016139,1.003426,0.569508,0.571812,0.156810,1.414106,0.897434,2675.810059
2017-12-18,always train (rows 1-551),1.221104,1.216905,1.408298,0.970196,-0.541188,0.355210,0.788754,-0.463277,-0.108370,0.772547,0.536281,2690.159912
2017-12-19,always train (rows 1-551),-0.489373,-0.599736,-0.268776,-0.636706,-1.065651,-0.724487,-0.717364,-0.014109,-0.602827,-0.420684,-0.323027,2681.469971
2017-12-20,always train (rows 1-551),-0.576041,-0.535177,-0.108822,-0.821976,-0.361189,-0.902473,-0.060639,0.521580,-0.437278,-0.347402,-0.082789,2679.250000
2017-12-21,always train (rows 1-551),-0.252433,-0.123941,0.378523,-0.023369,-0.242865,-0.247319,0.556149,1.182596,-0.070863,1.592232,0.198566,2684.570068
2017-12-22,always train (rows 1-551),-0.185845,-0.330005,0.000000,0.011697,-0.544792,-0.140899,-0.487707,0.143056,-0.666363,-0.352420,-0.045817,2683.340088
2017-12-26,always train (rows 1-551),-0.281596,-0.318827,0.718960,-0.128611,-2.536965,-0.682825,-0.176835,0.011927,-0.021437,-0.400167,-0.105842,2680.500000
2017-12-27,always train (rows 1-551),-0.530103,-0.697430,0.467381,0.362978,0.017542,0.926165,0.566885,-0.095245,0.342636,0.186867,0.079094,2682.620117
2017-12-28,always train (rows 1-551),-0.400864,-0.117216,0.324804,0.011678,0.281387,0.168903,0.437866,0.143031,-0.007095,0.531629,0.183400,2687.540039
2017-12-29,always train (rows 1-551),-0.241486,-0.166012,-0.210032,-1.402076,-1.081367,-0.820588,-0.671475,-0.452272,-0.597610,-0.788535,-0.518315,2673.610107
2018-01-02,always train (rows 1-551),1.880569,1.777512,1.670844,0.479318,1.790474,2.810836,-0.504490,1.661871,-0.350723,0.944435,0.830336,2695.810059
2018-01-03,always train (rows 1-551),1.706114,1.641328,1.277531,0.465396,-0.017427,1.791407,1.303109,1.964005,0.955276,0.101876,0.639882,2713.060059
2018-01-04,always train (rows 1-551),0.388430,0.362123,0.447601,0.880143,0.464455,-0.184110,0.450478,0.138411,-0.007130,1.432562,0.402864,2723.989990
2018-01-05,always train (rows 1-551),1.326031,1.457105,1.616252,1.239836,1.138579,1.367138,0.363743,-0.080633,0.825349,-0.641952,0.703377,2743.149902
2018-01-08,always train (rows 1-551),0.353055,0.427311,1.442468,0.102004,-0.371424,0.765314,0.655351,0.449578,0.127024,0.147676,0.166234,2747.709961
